DISTRICT,UPAZILA/THANA,INSTITUTE TYPE,INSTITUTE LEVEL,EIIN,INSTITUTE NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO,STUDY TYPE,AREA,GEOGRPY
Barguna,Amtali,COLLEGE,HIGHER SECONDARY ,134876,DR. MD. SHAHIDUL ISLAM COLLEGE,CHARAKGACHIA,PANCHAKORALIA,1725960817,PRIVATE,No,CO-EDUCATION JOINT,RURAL,TEA GARDEN
Barguna,Amtali,COLLEGE,HIGHER SECONDARY ,100115,TIAKHALI COLLEGE,UTTAR TIAKHALI,CHALAVANGA,1309100115,PRIVATE,No,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barguna,Amtali,COLLEGE,DEGREE (PASS) ,100111,EUNUS ALI KHAN DEGREE COLLEGE,KALIBARI,HAT-CHUNAKHALI,1646182652,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barguna,Amtali,COLLEGE,DEGREE (PASS) ,100113,BAKUL NESSA MOHILA COLLEGE,MOHILA COLLEGE ROAD,AMTALI,1719661206,PRIVATE,Yes,GIRLS,UPAZILA SADAR PORA,COASTAL AREA
Barguna,Amtali,COLLEGE,DEGREE (PASS) ,100112,GOVT. AMTALI  DEGREE  COLLEGE,"COLLEGE ROAD, AMTALI",AMTALI,1724917919,PUBLIC,Yes,CO-EDUCATION JOINT,UPAZILA SADAR PORA,RIVER SIDE/CHAR
Barguna,Bamna,COLLEGE,DEGREE (HONORS),100142,"BEGUM  FAIZUNNESA  MOHILA  DEGREE COLLEGE,  BAMNA","KALAGACHHIA,SADOR ROAD",BAMNA,1309100142,PRIVATE,Yes,GIRLS,UPAZILA SADAR NOT POURA,PLAIN LAND
Barguna,Bamna,COLLEGE,DEGREE (PASS) ,100141,HALTA DAWATALA WAZED ALI KHAN COLLEGE,DAWATALA,HALTA,1309100141,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,COASTAL AREA
Barguna,Bamna,COLLEGE,DEGREE (PASS) ,100143,BAMNA DEGREE COLLEGE,PURBO SOFIPUR,BAMNA,1718622077,PUBLIC,Yes,CO-EDUCATION JOINT,UPAZILA SADAR NOT POURA,COASTAL AREA
Barguna,Barguna Sadar,COLLEGE,HIGHER SECONDARY ,137692,BARGUNA NEW MODEL COLLEGE,COLLEGE ROAD,BARGUNA,1715635143,PRIVATE,No,CO-EDUCATION JOINT,DISTRICT SADAR POURA,PLAIN LAND
Barguna,Barguna Sadar,COLLEGE,MASTERS ,100241,BARGUNA GOVT. COLLEGE,"COLLEGE BRANCH ROAD, BARGUNA",BARGUNA COLLEGE,1716030583,PUBLIC,No,CO-EDUCATION JOINT,DISTRICT SADAR POURA,PLAIN LAND
Barguna,Barguna Sadar,COLLEGE,HIGHER SECONDARY ,100240,BARGUNA IDEAL COLLEGE,DAKHIN BARGUNA,BARGUNA,1309100240,PRIVATE,No,CO-EDUCATION JOINT,DISTRICT SADAR POURA,COASTAL AREA
Barguna,Barguna Sadar,COLLEGE,HIGHER SECONDARY ,100243,AYLA  COLLEGE,ADABARIA,ADABARIA,1721115062,PRIVATE,No,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barguna,Barguna Sadar,COLLEGE,HIGHER SECONDARY ,137690,BARGUNA RESIDENTIAL MODEL COLLEGE,DAKSHIN MONSATALI,BARGUNA,1309137690,PRIVATE,No,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barguna,Barguna Sadar,COLLEGE,HIGHER SECONDARY ,132006,GHATBARIA ADARSHA COLLEGE,GHATBARIA,HORIDRA BARIA,1309132006,PRIVATE,No,CO-EDUCATION JOINT,RURAL,TEA GARDEN
Barguna,Barguna Sadar,COLLEGE,HIGHER SECONDARY ,100239,M. BALIATALI D.N. COLLEGE,BANNY,PARIRKHAL,1703331037,PRIVATE,No,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barguna,Barguna Sadar,COLLEGE,DEGREE (PASS) ,100242,BARGUNA GOVT. MOHILA COLLEGE,,BARGUNA,1309100242,PUBLIC,No,GIRLS,DISTRICT SADAR POURA,PLAIN LAND
Barguna,Betagi,COLLEGE,DEGREE (PASS) ,100296,GOVT. BETAGI COLLEGE,BETAGI,BETAGI,1718323407,PUBLIC,No,CO-EDUCATION JOINT,UPAZILA SADAR PORA,PLAIN LAND
Barguna,Betagi,COLLEGE,HIGHER SECONDARY ,100294,KAUNIA COLLEGE,KAUNIA,KAUNIA HAT,1309100294,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,COASTAL AREA
Barguna,Betagi,COLLEGE,HIGHER SECONDARY ,137714,OHIDUR RAHMAN SHAHIN WOMEN'S COLLEGE,KAZIRABAD,KAZIRABAD,1718002205,PRIVATE,No,GIRLS,RURAL,PLAIN LAND
Barguna,Betagi,COLLEGE,HIGHER SECONDARY ,100298,DR. ASMAT ALI COLLEGE,HOSNABAD,RAHIMABAD,1309100298,PRIVATE,No,CO-EDUCATION JOINT,RURAL,COASTAL AREA
Barguna,Betagi,COLLEGE,DEGREE (PASS) ,100295,CHANDKHALI MOSHARRAF HOSSAIN COLLEGE,AYLA CHANDKHALI,AYELA CHANDKHALI,1309100295,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barguna,Patharghata,COLLEGE,DEGREE (PASS) ,100345,GOVT. HAZI JALAL UDDIN MOHILA DEGREE COLLEGE,HAZI JALAL UDDIN SHOROK,PATHARGHATA,1309100345,PUBLIC,Yes,GIRLS,UPAZILA SADAR PORA,COASTAL AREA
Barguna,Patharghata,COLLEGE,DEGREE (HONORS),100344,SYED FAZLUL HOQUE DEGREE COLLEGE,LEMUA,LEMUA,1712965526,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barguna,Patharghata,COLLEGE,MASTERS ,100346,PATHRGHATA COLLEGE,"H-137, COLLEGE ROAD, PATHARGATA POUROSAVA ",PATHARGHATA,1716856383,PRIVATE,Yes,CO-EDUCATION JOINT,UPAZILA SADAR PORA,COASTAL AREA
Barguna,Taltali,COLLEGE,DEGREE (PASS) ,100110,TALTALI  DEGREE  COLLEGE,THANG PARA,TALTALI,1309100110,PUBLIC,Yes,CO-EDUCATION JOINT,RURAL,RIVER SIDE/CHAR
Barisal,Agailjhara,COLLEGE,DEGREE (PASS) ,100382,GOVT. SHAHEED ABDUR ROB SERNIABAT DEGREE COLLEGE,AGAILJHARA,AGAILJHARA,1309100382,PUBLIC,Yes,CO-EDUCATION JOINT,UPAZILA SADAR NOT POURA,PLAIN LAND
Barisal,Agailjhara,COLLEGE,HIGHER SECONDARY ,136509,BASHAIL SHAHID SUKANTO BABU COLLEGE,BASHAIL,BASHAIL,1309136509,PRIVATE,No,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Babuganj,COLLEGE,HIGHER SECONDARY ,136897,BIRSHRESTHA CAPTAIN MOHIUDDIN JAHANGIR COLLEGE,RAHIMGANJ,BRAHMANDIA,1745387542,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Babuganj,COLLEGE,DEGREE (HONORS),100441,BABUGANJ DEGREE COLLEGE,BABUGANJ,BABUGANJ,1712691722,PRIVATE,Yes,CO-EDUCATION JOINT,UPAZILA SADAR NOT POURA,PLAIN LAND
Barisal,Babuganj,COLLEGE,DEGREE (PASS) ,100440,AGARPUR COLLEGE,AGARPUR,AGARPUR,1712114360,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Babuganj,COLLEGE,DEGREE (PASS) ,100442,GOVT. ABUL KALAM DEGREE COLLEGE RAKUDIA,RAKUDIA,RAKUDIA,1711342647,PUBLIC,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Bakerganj,COLLEGE,DEGREE (PASS) ,100591,GOVT.BAKERGONJ COLLEGE,RUNSI,SHAHEBGONJ,1309100591,PUBLIC,No,CO-EDUCATION JOINT,UPAZILA SADAR PORA,PLAIN LAND
Barisal,Bakerganj,COLLEGE,HIGHER SECONDARY ,138296,KABAI UNION IDEAL MAHILA COLLEGE,HANUA,HANUA,1740877397,PRIVATE,No,GIRLS,RURAL,PLAIN LAND
Barisal,Bakerganj,COLLEGE,DEGREE (PASS) ,100592,AL-HAJ HAZRAT ALI  COLLEGE,KOSHABAR,KAMARKHALI,1727725260,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Bakerganj,COLLEGE,HIGHER SECONDARY ,100587,RATNA AMIN MOHILA COLLEGE,"BHARPASA, BAKERGANJ",SHAHEBGANJ,1714785132,PRIVATE,Yes,GIRLS,UPAZILA SADAR PORA,PLAIN LAND
Barisal,Bakerganj,COLLEGE,DEGREE (PASS) ,100590,KALASKATI DEGREE  COLLAGE,KALASKATI,KALASKATI,1309100590,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Bakerganj,COLLEGE,DEGREE (PASS) ,100598,KABAI UNION ISLAMIA  DEGREE PRO COLLEGE ,LUXMIPASHA,LUXMIPASHA,1309100598,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Bakerganj,COLLEGE,DEGREE (HONORS),100596,BEGUM SAMSUDDIN TALUKDER COLLEGE,CHARADY,RANIRHAT,1712544420,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,RIVER SIDE/CHAR
Barisal,Bakerganj,COLLEGE,HIGHER SECONDARY ,100597,BAKERGANJ  ISLAMIA  MOHILA  COLLEGE,AULIAPUR,RUNSHI,1712765330,PRIVATE,Yes,GIRLS,UPAZILA SADAR PORA,PLAIN LAND
Barisal,Bakerganj,COLLEGE,DEGREE (PASS) ,100595,M. A . MALEK DEGREE COLLEGE,CHHOTO RAGHUNATHPUR,FORKANIA,1726653555,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Bakerganj,COLLEGE,DEGREE (PASS) ,100594,HELAL  UDDIN AHMED COLLEGE,KAKARDHA ,KAKARDHA,1309100594,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Bakerganj,COLLEGE,HIGHER SECONDARY ,138010,CHANDRADIP COLLEGE,DUDHAL,DUDHAL MADRASAH,1720352736,PRIVATE,No,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Bakerganj,COLLEGE,DEGREE (PASS) ,100589,SYED AFSAR ALI DEGREE COLLEGE,MAHESHPUR,MOHESHPUR,1309100589,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Bakerganj,COLLEGE,HIGHER SECONDARY ,100599,ABUL HOSSAIN KHAN COLLEGE,KRISHNAKATHI,KRISHNAKATHI,1726120410,PRIVATE,No,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Bakerganj,COLLEGE,DEGREE (PASS) ,100593,C. N. B. DEGREE COLLEGE,14 NO NEYAMOTY,NIAMATI,1712701463,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,RIVER SIDE/CHAR
Barisal,Bakerganj,COLLEGE,HIGHER SECONDARY ,138548,JAHANGIR HOSSAIN MOLLA COLLEGE,SHUNDARKATHI,GOMA DUDHAL,1309138548,PRIVATE,No,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Bakerganj,COLLEGE,DEGREE (PASS) ,100588,ATAHAR UDDIN HOWLADER DEGREE COLLEGE,BALAIKATHI,BADALPARA,1309100588,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Banari Para,COLLEGE,HIGHER SECONDARY ,100660,SAYEDKATI  UNION ISLAMIA COLLEGE,MASJIDBARI,MASJIDBARI,1716416498,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Banari Para,COLLEGE,DEGREE (PASS) ,100657,BANARIPARA DEGREE COLLEGE,BANARIPARA,BANARIPARA,1759646814,PRIVATE,Yes,CO-EDUCATION JOINT,UPAZILA SADAR PORA,PLAIN LAND
Barisal,Banari Para,COLLEGE,MASTERS ,100659,SYED BAZLUL HAQUE COLLEGE,BAISARI,BAISARI,1755589925,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Banari Para,COLLEGE,DEGREE (HONORS),100658,GOVT FAZLUL HUQ COLLEGE,CHAKHAR,CHAKHAR,1309100658,PUBLIC,No,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Banari Para,COLLEGE,DEGREE (PASS) ,100656,BISHARKANDI SHER E BANGLA DEGREE COLLEGE,MORICH BUNIA,BISHARKANDI,1309100656,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,INDUSTRIAL AREA
Barisal,Gaurnadi,COLLEGE,DEGREE (PASS) ,100705,BARTHI DEGREE COLLEGE,BARTHI,BARTHI,1309100705,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Gaurnadi,COLLEGE,DEGREE (HONORS),100706,MAHILARA DEGREE COLLEGE,MAHILARA,MAHILARA,1712902046,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Gaurnadi,COLLEGE,HIGHER SECONDARY ,134217,BATAJORE RABAYA FAZLA KARIM WOMEN'S COLLEGE,"HARHAR, 6NO. BATAJORE",BATAJORE,1309134217,PRIVATE,Yes,GIRLS,RURAL,PLAIN LAND
Barisal,Gaurnadi,COLLEGE,DEGREE (HONORS),100703,GOVT.GOURNADI COLLEGE,GOURNADI,GOURNADI,1309100703,PUBLIC,No,CO-EDUCATION JOINT,UPAZILA SADAR PORA,PLAIN LAND
Barisal,Gaurnadi,COLLEGE,DEGREE (PASS) ,100704,NIZAMUDDIN DEGREE COLLEGE,HOSNABAD,NIZAMUDDIN COLLEGE,1716879033,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Hizla,COLLEGE,DEGREE (HONORS),100736,GOVT. HIZLA DEGREE COLLEGE,KHUNA GOBINDOPUR,BARJALIA,1309100736,PUBLIC,Yes,CO-EDUCATION JOINT,UPAZILA SADAR PORA,PLAIN LAND
Barisal,Hizla,COLLEGE,HIGHER SECONDARY ,136325,ABDUL JABBAR MEHMAN COLLEGE,PURBAKANDI,HRINATHPUR,1712120686,PRIVATE,No,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Barisal Sadar (Kotwali),COLLEGE,HIGHER SECONDARY ,100872,MAHANAGAR COLLEGE,HORIPASHA,RUYA,1711181067,PRIVATE,Yes,CO-EDUCATION JOINT,CITY CORPORATION,PLAIN LAND
Barisal,Barisal Sadar (Kotwali),COLLEGE,DEGREE (HONORS),100868,BARISAL  ISLAMIA     COLLEGE,"AMANATGONNG,BARISHAL.",BARISAL,1992942877,PRIVATE,Yes,CO-EDUCATION JOINT,CITY CORPORATION,PLAIN LAND
Barisal,Barisal Sadar (Kotwali),COLLEGE,MASTERS ,100876,GOVT. SYED HATEM ALI COLLEGE,NOBAGRAM ROAD,BARISHAL,1716407335,PUBLIC,No,CO-EDUCATION JOINT,CITY CORPORATION,PLAIN LAND
Barisal,Barisal Sadar (Kotwali),COLLEGE,DEGREE (HONORS),100878,SAHID ZIAUR RAHMAN DEGREE COLLEGE,BISARAD,SAHABERHAT,1716040222,PRIVATE,Yes,CO-EDUCATION JOINT,UPAZILA SADAR NOT POURA,PLAIN LAND
Barisal,Barisal Sadar (Kotwali),COLLEGE,HIGHER SECONDARY ,100866,RUPATALI JAGUA COLLEGE,RUPATALI,JAGUYAHAT,1712795059,PRIVATE,Yes,CO-EDUCATION JOINT,CITY CORPORATION,PLAIN LAND
Barisal,Barisal Sadar (Kotwali),COLLEGE,MASTERS ,100875,GOVT.B.M COLLEGE,COLLEGE CAMPUS,COLLEGE CAMPUS,1716174185,PUBLIC,No,CO-EDUCATION JOINT,CITY CORPORATION,PLAIN LAND
Barisal,Barisal Sadar (Kotwali),COLLEGE,HIGHER SECONDARY ,100871,A.KARIM IDEAL COLLEGE,"CHARBADNA-721,",BARISAL,1711319149,PRIVATE,Yes,CO-EDUCATION JOINT,CITY CORPORATION,PLAIN LAND
Barisal,Barisal Sadar (Kotwali),COLLEGE,MASTERS ,100867,GOVT. BARISAL COLLEGE,KALIBARI ROAD,BARISAL,1309100867,PUBLIC,No,CO-EDUCATION JOINT,CITY CORPORATION,PLAIN LAND
Barisal,Barisal Sadar (Kotwali),COLLEGE,MASTERS ,100877,BARISAL GOVT. WOMENS COLLEGE,AGORPUR ROAD,BARISAL,1756182136,PUBLIC,No,GIRLS,CITY CORPORATION,PLAIN LAND
Barisal,Barisal Sadar (Kotwali),COLLEGE,DEGREE (PASS) ,100870,"BARISAL CITY COLLEGE(DAY-NIGHT) ,BARISAL",SADAR ROAD,BARISAL,1747610520,PRIVATE,Yes,CO-EDUCATION JOINT,CITY CORPORATION,PLAIN LAND
Barisal,Barisal Sadar (Kotwali),COLLEGE,HIGHER SECONDARY ,139345,BANGOBONDHU SONGIT COLLEGE DAY NIGHT,HARINA PHULIA,HARINA PHULIA,1732664561,PRIVATE,No,CO-EDUCATION JOINT,CITY CORPORATION,PLAIN LAND
Barisal,Barisal Sadar (Kotwali),COLLEGE,HIGHER SECONDARY ,137625,BARISAL METROPOLITAN COLLEGE,"C & B ROAD, BARISAL-8200",BARISAL SADAR,1309137625,PRIVATE,No,CO-EDUCATION JOINT,CITY CORPORATION,PLAIN LAND
Barisal,Barisal Sadar (Kotwali),COLLEGE,DEGREE (PASS) ,100869,ABDUR ROB SERNIABAT COLLEGE,PURAN PARA 933,BARISAL,1309100869,PRIVATE,Yes,CO-EDUCATION JOINT,CITY CORPORATION,PLAIN LAND
