DISTRICT,UPAZILA/THANA,INSTITUTE TYPE,INSTITUTE LEVEL,EIIN,INSTITUTE NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO,STUDY TYPE,AREA,GEOGRPY
Barguna,Amtali,SCHOOL & COLLEGE,HIGHER SECONDARY ,100116,UTTAR SONAKHALI SCHOOL & COLLEGE,UTTAR SONAKHLI,SONAKHALI,1714630552,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,COASTAL AREA
Barguna,Bamna,SCHOOL & COLLEGE,HIGHER SECONDARY ,100118,GOVT.  SARWARJAN PILOT MODEL  SCHOOL AND COLLEGE,PURBO SHAFIPUR,SHAFI PUR,1309100118,PUBLIC,Yes,CO-EDUCATION JOINT,UPAZILA SADAR NOT POURA,RIVER SIDE/CHAR
Barguna,Barguna Sadar,SCHOOL & COLLEGE,HIGHER SECONDARY ,100163,NALI MUSLIM HIGHER SECONDARY SCHOOL,NALI,NALI,1309100163,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,TEA GARDEN
Barguna,Barguna Sadar,SCHOOL & COLLEGE,HIGHER SECONDARY ,100173,ROAD PARA SHAHID SMIRITY HIGH SCHOOL,ROAD PARA,ROADPARA HAT,1309100173,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,TEA GARDEN
Barguna,Barguna Sadar,SCHOOL & COLLEGE,HIGHER SECONDARY ,100183,GARJONBUNIA HIGH SCHOOL  AND COLLEGE,GARJONBUNIA,SHIALIA,1309100183,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,COASTAL AREA
Barguna,Betagi,SCHOOL & COLLEGE,HIGHER SECONDARY ,100248,KADBHANU MEMORIAL GIRLS HIGH SCHOOL AND COLLEGE,AYLA CHANDKHALI,AYELA CHANDKHALI,1736912115,PRIVATE,Yes,GIRLS,RURAL,RIVER SIDE/CHAR
Barguna,Betagi,SCHOOL & COLLEGE,HIGHER SECONDARY ,100256,BIBICHINI NIAMITO UNITED HIGH SCHOOL AND COLLEGE,BIBICHINI,NIAMATI,1309100256,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barguna,Betagi,SCHOOL & COLLEGE,HIGHER SECONDARY ,100299,BETAGI  GIRLS  HIGHER   SECONDARY  SCHOOL,H.NO-64. WARD NO-07.   BETAGI,BETAGI,1716447147,PRIVATE,Yes,GIRLS,UPAZILA SADAR PORA,PLAIN LAND
Barguna,Patharghata,SCHOOL & COLLEGE,HIGHER SECONDARY ,100310,KATHALTALI SAPTAGRAM HIGH SCHOOL AND COLLEGE,KATHALTALI,HOSSAINPUR,1720156991,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barguna,Patharghata,SCHOOL & COLLEGE,HIGHER SECONDARY ,100317,KIRANPUR HIGH SCHOOL AND COLLEGE,KIRANPUR,MANIKKHALI,1721872201,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Agailjhara,SCHOOL & COLLEGE,HIGHER SECONDARY ,100353,PAISA SECONDARY SCHOOL AND COLLEGE,PAISA,PAYSAR HAT,1715405672,PRIVATE,Yes,C0-EDUCATION SEPARATE,RURAL,PLAIN LAND
Barisal,Agailjhara,SCHOOL & COLLEGE,HIGHER SECONDARY ,100355,ASKAR KALIBARI SECONDARY SCHOOL AND COLLEGE,ASKAR,ASKAR,1715306225,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Agailjhara,SCHOOL & COLLEGE,HIGHER SECONDARY ,100362,CHHOYGRAM SECONDARY SCHOOL AND COLLEGE,CHHOYGRAM,BARAHAZAR,1911167671,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Agailjhara,SCHOOL & COLLEGE,HIGHER SECONDARY ,100384,"ADARSHA HIGH SCHOOL AND COLLAGE,MOHONKATHI",MOHONKATHI,BARHAZAR,1718859899,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Agailjhara,SCHOOL & COLLEGE,HIGHER SECONDARY ,100386,BAGDHA  SECONDARY  SCHOOL  &  COLLEGE,BAGDHA,BAGDHA,171883009,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,HAOUR/BIL
Barisal,Agailjhara,SCHOOL & COLLEGE,HIGHER SECONDARY ,100387,BAHADURPUR NISHIKANTA GAIN GIRL'S SCHOOL & COLLEGE,BAHADURPUR,BAHADURPUR,1834070057,PRIVATE,Yes,GIRLS,RURAL,PLAIN LAND
Barisal,Babuganj,SCHOOL & COLLEGE,HIGHER SECONDARY ,100399,MOHONGANJ HIGH SCHOOL AND COLLEGE,CHATIA,CHANDPASHA,1712728013,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Babuganj,SCHOOL & COLLEGE,HIGHER SECONDARY ,100408,RASHED KHAN MENON MODEL  SCHOOL  AND COLLEGE,KHANPURA,BABUGANJ(KHANPURA),1718031427,PRIVATE,Yes,CO-EDUCATION JOINT,UPAZILA SADAR NOT POURA,PLAIN LAND
Barisal,Babuganj,SCHOOL & COLLEGE,HIGHER SECONDARY ,100443,BARISAL CADET COLLEGE,PRATAPPUR,CADET COLLEGE,1769011236,PRIVATE,No,BOYS,UPAZILA SADAR PORA,PLAIN LAND
Barisal,Babuganj,SCHOOL & COLLEGE,HIGHER SECONDARY ,100444,MADDHABPASHA CHANDRADIP HIGH SCHOOL AND COLLEGE,MADHABPASHA,MADHABPASHA,1716682211,PRIVATE,Yes,CO-EDUCATION JOINT,UPAZILA SADAR NOT POURA,PLAIN LAND
Barisal,Babuganj,SCHOOL & COLLEGE,HIGHER SECONDARY ,100445,KADERPUR SONARBANGLA HIGHER SECONDARY SCHOOL,SOUTH BHUTER DIYA,KEDARPUR,1745153168,PRIVATE,Yes,C0-EDUCATION SEPARATE,RURAL,PLAIN LAND
Barisal,Babuganj,SCHOOL & COLLEGE,HIGHER SECONDARY ,100446,CHANDPASHA HIGH SCHOOL AND COLLEGE,BOKSHERCHOR,LAKHUTIA,1711194342,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,RIVER SIDE/CHAR
Barisal,Bakerganj,SCHOOL & COLLEGE,HIGHER SECONDARY ,100492,K. G. S.SECONDARY SCHOOL AND COLLEGE, KRISHNAKATI,GOMA DUDHAL,1309100492,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Bakerganj,SCHOOL & COLLEGE,HIGHER SECONDARY ,100600,BADALPARA HIGH SCHOOL AND COLLEGE,BADALPARA,BADAL PARA,1718898071,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Banari Para,SCHOOL & COLLEGE,HIGHER SECONDARY ,100661,MASJIDBARI SECONDARY SCHOOL AND COLLEGE,MASJIDBARI,MASJIDBARI,1712520537,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
Barisal,Gaurnadi,SCHOOL & COLLEGE,HIGHER SECONDARY ,100665,PALORDI  SCHOOL AND COLLEGE,"5,785,578,757,885,780",GOURNADI,1710884213,PRIVATE,Yes,CO-EDUCATION JOINT,UPAZILA SADAR PORA,PLAIN LAND
Barisal,Gaurnadi,SCHOOL & COLLEGE,HIGHER SECONDARY ,100707,GOURNADI GIRLS SCHOOL AND COLLEGE,CHAR GADHATOLI,GOURNADI,1912165615,PRIVATE,Yes,GIRLS,UPAZILA SADAR PORA,PLAIN LAND
Barisal,Hizla,SCHOOL & COLLEGE,HIGHER SECONDARY ,100712,KAURIA HIGH SCHOOL AND COLLEGE,MASKATA,KAWRIA  BANDAR,1726914090,PRIVATE,Yes,CO-EDUCATION JOINT,RURAL,PLAIN LAND
